"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2019","991.44","981.51","991.52","981.03","83.81M","-0.01%"
"May 03, 2019","991.58","989.63","991.72","987.04","89.36M","0.56%"
"May 02, 2019","986.02","989.75","990.89","985.51","130.23M","-0.45%"
"May 01, 2019","990.49","994.57","996.25","989.96","106.85M","-0.41%"
"Apr 30, 2019","994.53","994.10","996.73","991.93","100.08M","-0.12%"
"Apr 29, 2019","995.73","996.18","998.18","994.69","95.14M","-0.02%"
"Apr 26, 2019","995.88","992.29","995.88","989.75","167.80M","0.22%"
"Apr 25, 2019","993.71","992.34","994.80","989.80","164.63M","0.00%"
"Apr 24, 2019","993.71","997.63","999.31","992.79","104.67M","-0.63%"
"Apr 23, 2019","999.97","994.24","1,000.28","993.32","117.13M","0.69%"
"Apr 22, 2019","993.16","994.54","995.37","991.66","79.61M","-0.21%"
"Apr 18, 2019","995.29","991.44","995.57","991.24","99.72M","0.47%"
"Apr 17, 2019","990.61","990.00","991.49","987.97","193.65M","0.21%"
"Apr 16, 2019","988.51","989.78","990.47","987.94","90.48M","0.06%"
"Apr 15, 2019","987.92","983.75","989.09","982.74","88.97M","0.33%"
"Apr 12, 2019","984.66","983.49","985.08","981.52","88.03M","0.56%"
"Apr 11, 2019","979.13","979.06","983.44","978.40","99.48M","0.17%"
"Apr 10, 2019","977.48","976.48","978.34","975.77","89.67M","0.31%"
"Apr 09, 2019","974.43","974.39","975.22","971.80","75.42M","-0.45%"
"Apr 08, 2019","978.82","976.27","978.82","973.73","94.69M","0.06%"
"Apr 05, 2019","978.21","974.84","978.21","973.98","70.68M","0.49%"
"Apr 04, 2019","973.45","972.86","973.45","969.79","90.99M","0.18%"
"Apr 03, 2019","971.66","972.86","975.04","969.47","111.99M","0.13%"
"Apr 02, 2019","970.43","968.79","970.43","965.92","84.39M","0.28%"
"Apr 01, 2019","967.69","964.65","967.69","962.35","114.55M","0.85%"
"Mar 29, 2019","959.50","966.20","967.18","958.21","122.03M","-0.45%"
"Mar 28, 2019","963.84","959.36","964.77","959.36","99.48M","0.31%"
"Mar 27, 2019","960.90","961.31","964.15","957.29","120.62M","-0.10%"
"Mar 26, 2019","961.89","961.18","964.96","959.40","113.23M","0.59%"
"Mar 25, 2019","956.26","956.82","959.31","954.35","110.46M","-0.20%"
"Mar 22, 2019","958.21","962.48","963.41","954.98","178.89M","-0.94%"
"Mar 21, 2019","967.26","962.03","968.37","961.85","118.36M","0.41%"
"Mar 20, 2019","963.27","964.34","966.86","961.27","104.80M","-0.26%"
"Mar 19, 2019","965.74","971.16","971.31","965.55","106.63M","-0.47%"
"Mar 18, 2019","970.27","963.42","970.27","963.18","83.12M","0.72%"
"Mar 15, 2019","963.37","964.36","965.48","962.47","343.88M","0.38%"
"Mar 14, 2019","959.68","962.42","962.99","959.17","90.08M","-0.31%"
"Mar 13, 2019","962.71","965.04","966.42","962.10","115.65M","0.06%"
"Mar 12, 2019","962.13","962.91","963.20","959.20","122.61M","0.17%"
